Title,Framework,Hook Score,Why
"Graphic Design in 2026 — The Tools Every Pro Is Switching To","(Niche) in (Current or upcoming year) — The (Entities) Every Pro Is Switching To","+404","Timeliness – Dropping in the current year does a great job of letting the audience know this is relevant right now, and this is an especially powerful strategy at the turn of the year. Desire – This creator’s audience loves tools. Curiosity – This opens a loop and makes you want to know which tools they’re talking about."
"5 Boundaries Men MUST Set Early or She’ll Walk All Over You","5 (Entities) (Specific Audience) MUST (Activity) Early or (Problem will occur)","+441","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Fear – The fear of being walked all over does a great job of getting people to click. Urgency – The fact that these boundaries need to be set early brings some urgency to watch this video asap."
"The ONLY Faceless Niches You Should Try in 2026","The ONLY (Entities) You Should Try in (Upcoming or current year)","+634","Scarcity – The word “ONLY” adds a constraint and scarcity and makes these niches way more interesting and valuable. Timeliness – Dropping “in 2026” in the beginning of the year is a great way to get people to click because “2026” is on everybody’s mind right now. It also lets you know that this video is relevant right now. Desire – This creator’s audience loves learning about new faceless niches."
"7 Minutes Only… Do This Every Morning","7 Minutes Only… Do This Every (Specific moment)","+1792","Time Frame – The time frame of “7 minutes” makes this feel more interesting and tangible. Desire – The time frame of “7 minutes only” plus the big promise in the thumbnail text team up to give you the feeling of getting a lot for a little in this video. Moment – Telling people to do something at a specific time makes it more tangible and interesting."
"How to articulate your thoughts more clearly to women you like","","-70","This title is probably too boring. It uses big words and doesn’t convey a clear benefit. When I think about what makes a good title, I think about the three clickworthy emotions: Curiosity



Fear



Desire Does articulating your thoughts more clearly to women you like spark any of these emotions? Maybe desire, but I think there’s a better way we could word it to evoke more emotion. Here are some examples for each one: Curiosity: “The 3-Second Rule Will Change How You Talk To Women Forever” Fear: “How To STOP Freezing When You Talk To Your Crush” Desire: “How To Make Any Woman Fall In Love With You” TLDR: Write clear and emotional titles about your audience’s fears and desires using simple words. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"3 Ways Homeowners Are Quietly Beating Property Taxes Right Now","3 Ways (Specific Audience) Are Quietly Beating (Problem) Right Now","+499","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Desire – This creator’s audience would love to beat property taxes. Curiosity – “Quietly” makes you feel like you’re getting in on a secret. Specific Audience – By calling out “Homeowners” he makes it clear who this video is for."
"I Built A Gaming Setup Using Only The $1 Store!","I Built A (Cool thing) Using Only (Constraint)!","+571","Constraint – Building a gaming setup is cool, but when you add a constraint, like “Using Only The $1 Store”, it makes it way more interesting."
"Everyone Laughed At His “Useless” Tunnel — Until The Blizzard Hit","Everyone Laughed At His “Useless” (Creation or possession) — Until (Problem)","+2756","Fear & Status – Social status is one of the most important things for us, and people laughing at us is the last thing we want. Curiosity – This builds curiosity in two ways: It starts a story, but doesn’t finish it, so you have to click to see what happened.



There’s a hint of contrast because apparently his “Useless” tunnel wasn’t so useless after all. Editor’s note: Many people want to know what’s working *now* on YouTube… But this title was inspired by an ad that was published in 1926, literally 100 years ago: “They Laughed When I Sat Down At The Piano – But When I Started to Play!”"
"How Old Money Raises Kids.. 9 Rules You Won’t see on Social Media","How Old Money (Activity).. 9 Rules You Won’t see on Social Media","+17","Authority – “Old Money” brings some authority here because they’re successful. List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Secret – “You Won’t see on Social Media” makes you feel like these rules are a little bit secretive."
"BlackRock Just Abandoned Your Retirement Strategy (New Playbook)","","-94","It might be me… but I don’t get it? Who cares if BlackRock abandons my retirement strategy? How does that affect me? I think this might’ve done better if it were worded so that its effect on the audience is more obvious. Something like: “BlackRock Just Ruined Your Retirement Strategy (New Playbook)” Also, I don’t love “(New Playbook)” at the end here. I’d probably just get rid of it to make the title cleaner and punchier: “BlackRock Just Ruined Your Retirement Strategy” Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"You’re Not Behind (Yet): How to Learn AI in 17 Minutes","You’re Not Behind (Yet): How to Learn [Subject] in [Short time frame]","+419","Fear – This addresses a big fear the audience might have that they’re behind. Desire – This creator’s audience would love to learn AI. Time Frame – The time frame of “17 Minutes” does two things: It adds to the desire because 17 minutes isn’t that long to learn something exciting and valuable.



It makes the video more tangible and specific (and, therefore, more interesting)."
"5 Tricks That End a Traffic Stop Fast (Lawyer Explains)","5 Tricks That End [Problem] Fast ([Authority figure] Explains)","+521","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Desire – Most people would love to end a traffic stop fast. Speed – People love speed and dropping in “Fast” satisfies that desire. Authority – Dropping in “(Lawyer Explains)” adds some trust and credibility to this video."
"Blindsided at Work? Use This One Sentence to Take Your Power Back","(Problem)? Use This One Sentence to (Solve problem)","+6631","Pain Point – This starts with a problem or pain point to grab the right audience’s attention and interest. Desire – People who are blindsided likely want to take their power back. Curiosity – This opens a loop and makes you want to know what this one sentence is. Scarcity – “This One Sentence” brings more focus on the sentence and makes it more valuable and interesting."
"Many people don’t know the secret of the screws located here.","Many people don’t know the secret of (Specific entity).","+7107","Curiosity – This builds curiosity by talking about a secret."
